Oxide Coumpounds;Price per gram(dolar/gram);responsável
SiO2;0.0954;Mayllon
P2O5;0.0533;Mayllon
ZrO2;0.0592;Mayllon
Na2O;2.32;Mayllon
Al2O3;0.0657;Mayllon
Fe2O3;1.808;Mayllon
CaO;0.24;Mayllon
MgO;2.8;Mayllon
K2O;;Mayllon
MnO;0.13;Mayllon
GeO2;18.82;Mayllon
Li2O;10.7;Mayllon
Ta2O5;5.28;Mayllon
ZnO;4.38;Mayllon
SrO;8;Mayllon
CdO;11.2;Mayllon
SnO2;18.64;Mayllon
B2O3;1.17;Mayllon
La2O3;1.06;Mayllon
Ga2O3;13.4;Mayllon
Y2O3;4.61;Mayllon
TiO2;2.09;Mayllon
Nb2O5;2.356;Mayllon
PbO;0.7;Mayllon
HfO2;3.852;Mayllon
WO3;1.02;Mayllon
Sb2O3;0.406;Mayllon
Bi2O3;0.773;Mayllon
BaO;11.3;Mayllon
Cr2O3;0.565;Mayllon
Cu2O;2.584;Mayllon
BeO;11.7;Mayllon
CuO;9.68;Mayllon
Nd2O3;3.672;Mayllon
CeO2;10.92;Mayllon
Cs2O;0.312;Mayllon
As2O3;1.728;Mayllon
SO3;;Mayllon
NH4NO3;0.1384;Mayllon
Rb2O;;Mayllon
MoO3;17.28;Mayllon
FeO;20.2;Mayllon
Mn2O3;0.608;Mayllon
SO2;8.12;Mayllon
ThO2;;Mayllon
Ag2O;9.07;Mayllon
TeO2;3.62;Mayllon
Tl2O;;Mayllon
CoO;10.1;Mayllon
In2O3;10.9;Mayllon
Sc2O3;42.49;Mayllon
NiO;6.75;Mayllon
V2O5;0.409;Mayllon
Li2SO4;0.648;Mayllon
As2O5;2.54;Mayllon
MnO2;0.696;Mayllon
OH;;Mayllon
Sm2O3;8.35;Mayllon
Gd2O3;4.2;Mayllon
Tb2O3;74;Mayllon
Dy2O3;7.8;Mayllon
Ho2O3;18.7;Mayllon
Er2O3;9.12;Mayllon
Yb2O3;9.23;Mayllon
Co3O4;3.456;Mayllon
Fe3O4;15.26;David
SnO;45.6;David
Mn3O4;0.4490;David
Ce2O3;;David
Pr2O3;32.2;David
CrO3;0.698;David
VO6;;David
TeO3;;David
UO2;;David
Na2SO4;0.0000372;David
Sb2O5;;David
Pr6O11;33.4;David
VO2;;David
Co2O3;1.296;David
Ti2O3;4.72;David
UO3;;David
(NH4)2SO4;0.0228;David
K2SO4;0.2028;David
Cs2SO4;11;David
Eu2O3;37.16;David
Mo2O3;;David
Ni2O3;;David
MoO;;David
PrO2;;David
TbO2;;David
V2O3;;David
NO2;;David
SeO2;0.698;David
Lu2O3;84.8;David
GeO;;David
N2O5;;David
SbO2;;David
BiOCl;0.916;David
ZnSO4;0.137;David
U3O8;;David
Mn2O7;;David
HgO;2.84;David
Tm2O3;62.2;David
PbSO4;8.12;David
BaSO4;0.0552;David
La2(SO4)3;2.94;David
BiOBr;;David
Rb2SO4;;David
BeSO4;;David
MgSO4;0.0372;David
Nb2O3;;David
PbO2;29.3;David
Tl2O3;15.58;David
Pb3O4;0.12;David
SiO;2.532;David
Sn2O3;4.02;David
KHSO4;;David
Li2SO3;;David
Ta2O3;;David
RuO2;64.4;David
O;;David
Tb4O7;38.6;David
NbO2F;;David
Tb3O7;;David
CO2;1.74;David
SeO3;;David
Ag2SO4;9.47;David
C2H5OH;0.04;David
Li2CO3;0.249;David
Na2CO3;0.4983;David
Al2(SO4)3;17.96;Mayllon
Cr3O4;;Mayllon
PdO;184;Mayllon
MoO2;3.66;Mayllon
Rh2O3;593;Mayllon
TiO;;Mayllon
RhO2;;Mayllon
PON;;Mayllon
CuSO4;0.631;Mayllon
VOSO4;3.552;Mayllon
Y2(SO4)3;;Mayllon
SbO;;Mayllon
LiNO3;0.516;Mayllon
NH4H2PO4;0.451;Mayllon
(NH4)3PO4;;Mayllon
CoSO4;0.669;Mayllon
Na2HPO4;0.743;Mayllon
Pr2(SO4)3;;Mayllon
CaSO4;0.2041;Mayllon
SrSO4;;Mayllon
CdSO4;1.37;Mayllon
Ag2CO3;8.68;Mayllon
AgNO3;6.8;Mayllon
ErO2;;Mayllon
YbO2;;Mayllon
K2CO3;0.577;Mayllon
MgCO3;;Mayllon
Ca(NO3)2;0.292;Mayllon
KNO3;0.646;Mayllon
Cd(NO3)2;0.49;Mayllon
SO4;;Mayllon
C6H12O6;0.0318;Mayllon
Th(SO4)2;;Mayllon
Er2(SO4)3;;Mayllon
Bi2O5;;Mayllon
H3BO3;0.432;Mayllon
EuO;;Mayllon
Pu2O3;;Mayllon
RbV2O5;;Mayllon
CeO;;Mayllon
BOF;;Mayllon
CrO;;Mayllon
Nd2(SO4)3;3.3;Mayllon
Gd2(SO4)3;5.264;Mayllon
BaO2;0.263;Mayllon
UO2F2;;Mayllon
CsHSO4;;Mayllon
NaHSO4;0.1052;Mayllon
NaPO3;;Mayllon
AgPO3;;Mayllon
MnNbOF5;;Mayllon
Cu2MoO4;;Mayllon
Cu3PO4;;Mayllon
Al(PO3)3;;Mayllon
RbNO3;7.26;Mayllon
Au2O3;294;Mayllon
CuNbOF5;;Mayllon
ReO3;264;Mayllon
ZrSiO4;0.0557;Mayllon
Ba(PO3)2;;Mayllon
Ba(H2PO4)2;;Mayllon
AlPO4;0.372;Mayllon
Na2B4O7;0.397;Mayllon
CaCO3;0.778;Mayllon
Re2O7;117;Mayllon
