Oxide Coumpounds;Price per gram(dolar/gram);;;;;;;;;;;;;;;;;
SiO2;0.0954;;;;;;;;;;;;;;;;;
P2O5;0.0533;;;;;;;;;;;;;;;;;
ZrO2;0.0592;;;;;;;;;;;;;;;;;
Na2O;2.32;;;;;;;;;;;;;;;;;
Al2O3;0.0657;;;;;;;;;;;;;;;;;
Fe2O3;1.808;;;;;;;;;;;;;;;;;
CaO;0.24;;;;;;;;;;;;;;;;;
MgO;2.8;;;;;;;;;;;;;;;;;
K2O;;;;;;;;;;;;;;;;;;
MnO;0.13;;;;;;;;;;;;;;;;;
GeO2;18.82;;;;;;;;;;;;;;;;;
Li2O;10.7;;;;;;;;;;;;;;;;;
Ta2O5;5.28;;;;;;;;;;;;;;;;;
ZnO;4.38;;;;;;;;;;;;;;;;;
SrO;8;;;;;;;;;;;;;;;;;
CdO;11.2;;;;;;;;;;;;;;;;;
SnO2;18.64;;;;;;;;;;;;;;;;;
B2O3;1.17;;;;;;;;;;;;;;;;;
La2O3;1.06;;;;;;;;;;;;;;;;;
Ga2O3;13.4;;;;;;;;;;;;;;;;;
Y2O3;4.61;;;;;;;;;;;;;;;;;
TiO2;2.09;;;;;;;;;;;;;;;;;
Nb2O5;2.356;;;;;;;;;;;;;;;;;
PbO;0.7;;;;;;;;;;;;;;;;;
HfO2;3.852;;;;;;;;;;;;;;;;;
WO3;1.02;;;;;;;;;;;;;;;;;
Sb2O3;0.406;;;;;;;;;;;;;;;;;
Bi2O3;0.773;;;;;;;;;;;;;;;;;
BaO;11.3;;;;;;;;;;;;;;;;;
Cr2O3;0.565;;;;;;;;;;;;;;;;;
Cu2O;2.584;;;;;;;;;;;;;;;;;
BeO;11.7;;;;;;;;;;;;;;;;;
CuO;9.68;;;;;;;;;;;;;;;;;
Nd2O3;3.672;;;;;;;;;;;;;;;;;
CeO2;10.92;;;;;;;;;;;;;;;;;
Cs2O;0.312;;;;;;;;;;;;;;;;;
As2O3;1.728;;;;;;;;;;;;;;;;;
SO3;;;;;;;;;;;;;;;;;;
NH4NO3;0.1384;;;;;;;;;;;;;;;;;
Rb2O;;;;;;;;;;;;;;;;;;
MoO3;17.28;;;;;;;;;;;;;;;;;
FeO;20.2;;;;;;;;;;;;;;;;;
Mn2O3;0.608;;;;;;;;;;;;;;;;;
SO2;8.12;;;;;;;;;;;;;;;;;
ThO2;;;;;;;;;;;;;;;;;;
Ag2O;9.07;;;;;;;;;;;;;;;;;
TeO2;3.62;;;;;;;;;;;;;;;;;
Tl2O;;;;;;;;;;;;;;;;;;
CoO;10.1;;;;;;;;;;;;;;;;;
In2O3;10.9;;;;;;;;;;;;;;;;;
Sc2O3;42.49;;;;;;;;;;;;;;;;;
NiO;6.75;;;;;;;;;;;;;;;;;
V2O5;0.409;;;;;;;;;;;;;;;;;
Li2SO4;0.648;;;;;;;;;;;;;;;;;
As2O5;2.54;;;;;;;;;;;;;;;;;
MnO2;0.696;;;;;;;;;;;;;;;;;
OH;;;;;;;;;;;;;;;;;;
Sm2O3;8.35;;;;;;;;;;;;;;;;;
Gd2O3;4.2;;;;;;;;;;;;;;;;;
Tb2O3;74;;;;;;;;;;;;;;;;;
Dy2O3;7.8;;;;;;;;;;;;;;;;;
Ho2O3;18.7;;;;;;;;;;;;;;;;;
Er2O3;9.12;;;;;;;;;;;;;;;;;
Yb2O3;9.23;;;;;;;;;;;;;;;;;
Co3O4;3.456;;;;;;;;;;;;;;;;;
Fe3O4;;;;;;;;;;;;;;;;;;
H2O;;;;;;;;;;;;;;;;;;
SnO;;;;;;;;;;;;;;;;;;
Mn3O4;;;;;;;;;;;;;;;;;;
Ce2O3;;;;;;;;;;;;;;;;;;
Pr2O3;;;;;;;;;;;;;;;;;;
CrO3;;;;;;;;;;;;;;;;;;
VO6;;;;;;;;;;;;;;;;;;
TeO3;;;;;;;;;;;;;;;;;;
UO2;;;;;;;;;;;;;;;;;;
Na2SO4;;;;;;;;;;;;;;;;;;
Sb2O5;;;;;;;;;;;;;;;;;;
Pr6O11;;;;;;;;;;;;;;;;;;
VO2;;;;;;;;;;;;;;;;;;
Co2O3;;;;;;;;;;;;;;;;;;
Ti2O3;;;;;;;;;;;;;;;;;;
UO3;;;;;;;;;;;;;;;;;;
(NH4)2SO4;;;;;;;;;;;;;;;;;;
K2SO4;;;;;;;;;;;;;;;;;;
Cs2SO4;;;;;;;;;;;;;;;;;;
Eu2O3;;;;;;;;;;;;;;;;;;
Mo2O3;;;;;;;;;;;;;;;;;;
Ni2O3;;;;;;;;;;;;;;;;;;
MoO;;;;;;;;;;;;;;;;;;
PrO2;;;;;;;;;;;;;;;;;;
TbO2;;;;;;;;;;;;;;;;;;
V2O3;;;;;;;;;;;;;;;;;;
NO2;;;;;;;;;;;;;;;;;;
SeO2;;;;;;;;;;;;;;;;;;
Lu2O3;;;;;;;;;;;;;;;;;;
GeO;;;;;;;;;;;;;;;;;;
N2O5;;;;;;;;;;;;;;;;;;
SbO2;;;;;;;;;;;;;;;;;;
BiOCl;;;;;;;;;;;;;;;;;;
ZnSO4;;;;;;;;;;;;;;;;;;
U3O8;;;;;;;;;;;;;;;;;;
Mn2O7;;;;;;;;;;;;;;;;;;
HgO;;;;;;;;;;;;;;;;;;
Tm2O3;;;;;;;;;;;;;;;;;;
PbSO4;;;;;;;;;;;;;;;;;;
BaSO4;;;;;;;;;;;;;;;;;;
La2(SO4)3;;;;;;;;;;;;;;;;;;
BiOBr;;;;;;;;;;;;;;;;;;
Rb2SO4;;;;;;;;;;;;;;;;;;
BeSO4;;;;;;;;;;;;;;;;;;
MgSO4;;;;;;;;;;;;;;;;;;
Nb2O3;;;;;;;;;;;;;;;;;;
PbO2;;;;;;;;;;;;;;;;;;
Tl2O3;;;;;;;;;;;;;;;;;;
Pb3O4;;;;;;;;;;;;;;;;;;
SiO;;;;;;;;;;;;;;;;;;
Sn2O3;;;;;;;;;;;;;;;;;;
KHSO4;;;;;;;;;;;;;;;;;;
Li2SO3;;;;;;;;;;;;;;;;;;
Ta2O3;;;;;;;;;;;;;;;;;;
RuO2;;;;;;;;;;;;;;;;;;
O;;;;;;;;;;;;;;;;;;
Tb4O7;;;;;;;;;;;;;;;;;;
NbO2F;;;;;;;;;;;;;;;;;;
Tb3O7;;;;;;;;;;;;;;;;;;
CO2;;;;;;;;;;;;;;;;;;
SeO3;;;;;;;;;;;;;;;;;;
Ag2SO4;;;;;;;;;;;;;;;;;;
C2H5OH;;;;;;;;;;;;;;;;;;
Li2CO3;;;;;;;;;;;;;;;;;;
Na2CO3;;;;;;;;;;;;;;;;;;
Al2(SO4)3;17.96;;;;;;;;;;;;;;;;;
Cr3O4;;;;;;;;;;;;;;;;;;
PdO;184;;;;;;;;;;;;;;;;;
MoO2;3.66;;;;;;;;;;;;;;;;;
Rh2O3;593;;;;;;;;;;;;;;;;;
TiO;;;;;;;;;;;;;;;;;;
RhO2;;;;;;;;;;;;;;;;;;
PON;;;;;;;;;;;;;;;;;;
CuSO4;0.631;;;;;;;;;;;;;;;;;
VOSO4;3.552;;;;;;;;;;;;;;;;;
Y2(SO4)3;;;;;;;;;;;;;;;;;;
SbO;;;;;;;;;;;;;;;;;;
LiNO3;0.516;;;;;;;;;;;;;;;;;
NH4H2PO4;0.451;;;;;;;;;;;;;;;;;
(NH4)3PO4;;;;;;;;;;;;;;;;;;
